trip_id,bin_code,pred,actual,error,day,abs_error
D031262766,25,26.48065185546875,0.0,26.48065185546875,5,26.48065185546875
D031262948,26,4.4053955078125,-53.0,57.4053955078125,5,57.4053955078125
D031262951,27,155.27603149414062,-96.99999237060547,252.2760238647461,5,252.2760238647461
D03126966,9,-24.986923217773438,14.0,-38.98692321777344,5,38.98692321777344
D01732132,26,4.1801300048828125,-6.0,10.180130004882812,5,10.180130004882812
D01732134,26,1.2233428955078125,104.0,-102.77665710449219,5,102.77665710449219
D01732141,28,10.20938491821289,-26.0,36.20938491821289,5,36.20938491821289
D0173231,16,58.167396545410156,120.0,-61.832603454589844,5,61.832603454589844
D0173233,16,88.69204711914062,228.0,-139.30795288085938,5,139.30795288085938
D0173240,18,39.347137451171875,139.0,-99.65286254882812,5,99.65286254882812
D0173242,18,27.44213104248047,29.999996185302734,-2.5578651428222656,5,2.5578651428222656
D0173249,20,33.249385833740234,41.0,-7.750614166259766,5,7.750614166259766
D0173251,20,-1.3823394775390625,110.0,-111.38233947753906,5,111.38233947753906
D0173282,22,13.212711334228516,20.0,-6.787288665771484,5,6.787288665771484
D0173294,24,2.45501708984375,-25.00000762939453,27.45502471923828,5,27.45502471923828
D0173296,24,-15.060447692871094,-9.0,-6.060447692871094,5,6.060447692871094
D017321,9,37.67140197753906,78.0,-40.32859802246094,5,40.32859802246094
D0173210,12,31.09284210205078,55.0,-23.90715789794922,5,23.90715789794922
D0173211,12,74.71040344238281,174.0,-99.28959655761719,5,99.28959655761719
D01732129,25,5.242877960205078,-81.99999237060547,87.24287033081055,5,87.24287033081055
D01732130,26,1.8363418579101562,-70.99999237060547,72.83633422851562,5,72.83633422851562
D01732135,26,1.2153472900390625,-17.0,18.215347290039062,5,18.215347290039062
D01732136,27,-9.96722412109375,-65.99999237060547,56.03276824951172,5,56.03276824951172
D01732138,27,4.145286560058594,23.0,-18.854713439941406,5,18.854713439941406
D01732139,28,-6.769584655761719,-45.0,38.23041534423828,5,38.23041534423828
D0173216,13,-5.313896179199219,21.0,-26.31389617919922,5,26.31389617919922
D0173217,13,-6.841827392578125,-39.0,32.158172607421875,5,32.158172607421875
D0173219,14,-6.774009704589844,-38.00000762939453,31.225997924804688,5,31.225997924804688
D0173220,14,-14.949028015136719,-53.0,38.05097198486328,5,38.05097198486328
D0173225,14,-6.0425262451171875,-19.0,12.957473754882812,5,12.957473754882812
D0173226,15,9.662078857421875,13.0,-3.337921142578125,5,3.337921142578125
D0173228,15,19.165225982666016,51.0,-31.834774017333984,5,31.834774017333984
D0173229,15,9.607967376708984,113.0,-103.39203262329102,5,103.39203262329102
D0173234,16,21.50379180908203,-4.0,25.50379180908203,5,25.50379180908203
D0173235,17,-3.3138504028320312,8.0,-11.313850402832031,5,11.313850402832031
D0173237,17,6.425022125244141,71.0,-64.57497787475586,5,64.57497787475586
D0173238,18,32.24850845336914,146.0,-113.75149154663086,5,113.75149154663086
D017324,10,24.42620086669922,40.0,-15.573799133300781,5,15.573799133300781
D0173243,18,17.22616958618164,28.0,-10.77383041381836,5,10.77383041381836
D0173244,19,-3.6093673706054688,-32.0,28.39063262939453,5,28.39063262939453
D0173246,19,21.89366912841797,-26.0,47.89366912841797,5,47.89366912841797
D017325,10,24.34634780883789,96.0,-71.65365219116211,5,71.65365219116211
D0173252,20,23.275341033935547,55.0,-31.724658966064453,5,31.724658966064453
D0173253,21,12.772403717041016,65.0,-52.227596282958984,5,52.227596282958984
D0173255,21,49.23044967651367,61.0,-11.769550323486328,5,11.769550323486328
